log_id,raw_log_text,board_id,test_type,pass_fail
LOG00001,"Checked 3v3 supply on unit B2443, 3.56V — flagged for rework.",B2443,POWER_RAIL_3V3,PASS
LOG00002,"unit C8980 - idle current draw 128.08mA — looks good, customer return unit.",C8980,CURRENT_DRAW,PASS
LOG00003,board C7925 5v power check: 4.54 V — no good.,C7925,POWER_RAIL_5V,FAIL
LOG00004,A0592 EN_LINE continuity: 2.52 Ohm (nominal).,A0592,CONTINUITY,PASS
LOG00005,B5851 thermal soak reading: 64.3 C.,B5851,THERMAL,PASS
LOG00006,Unit unit C0284: 3v3 supply reading 3.24V.,C0284,POWER_RAIL_3V3,FAIL
LOG00007,C8097 VDD_3V3 rail: 3.19 V — passes.,C8097,POWER_RAIL_3V3,FAIL
LOG00008,D 4109 VDD_12V rail: 10.76 V (failed).,D4109,POWER_RAIL_12V,FAIL
LOG00009,"board D8022 - 5V rail 5.15V, within spec, after reflow.",D8022,POWER_RAIL_5V,PASS
LOG00010,C 8380 J7 continuity: 0.47 Ohm.,C8380,CONTINUITY,FAIL
LOG00011,A5017 5V rail: 5.10 V.,A5017,POWER_RAIL_5V,FAIL
LOG00012,"Checked 12V rail on D-0960, 11.67V, after reflow.",D0960,POWER_RAIL_12V,PASS
LOG00013,Unit A-9444: thermal reading after burn-in reading 26.5C.,A9444,THERMAL,FAIL
LOG00014,"Unit D 1417: 5v power check reading 5.57V, failed.",D1417,POWER_RAIL_5V,FAIL
LOG00015,"C-5854 - VDD_5V rail 5.02V, OK, second attempt.",C5854,POWER_RAIL_5V,PASS
LOG00016,Unit unit C0511: thermal reading after burn-in reading 31.5C — within spec.,C0511,THERMAL,FAIL
LOG00017,Unit A-4193: 3.3V rail reading 2.68V — doesn't look right.,A4193,POWER_RAIL_3V3,FAIL
LOG00018,unit C2529 current draw at idle: 137.01 mA.,C2529,CURRENT_DRAW,FAIL
LOG00019,"Checked 3v3 supply on B 0927, 3.38V — all good, line 2.",B0927,POWER_RAIL_3V3,FAIL
LOG00020,unit unit d9578: standby current reading 171.79ma.,D9578,CURRENT_DRAW,FAIL
LOG00021,A-5860 CH4 signal check: 2.35 Vpp (bad reading).,A5860,SIGNAL_INTEGRITY,FAIL
LOG00022,Unit board C7080: 5v power check reading 5.15V.,C7080,POWER_RAIL_5V,PASS
LOG00023,"unit C1735 - quiescent current 150.00mA, per ECO-114.",C1735,CURRENT_DRAW,FAIL
LOG00024,"Checked signal amplitude CH3 on A9145, 2.75Vpp, line 2.",A9145,SIGNAL_INTEGRITY,FAIL
LOG00025,"board d1906 - +12v supply 11.62v, line 2.",D1906,POWER_RAIL_12V,FAIL
LOG00026,"unit A9097 - cont check CLK 0.00Ohm (all good), unit was reworked yesterday.",A9097,CONTINUITY,PASS
LOG00027,"checked 5v rail on unit b4206, 5.00v, unit was reworked yesterday.",B4206,POWER_RAIL_5V,PASS
LOG00028,unit b6041: vdd_5v rail reading 5.63v.,B6041,POWER_RAIL_5V,FAIL
LOG00029,"unit b1253 idle current draw measured 20.09ma, no good.",B1253,CURRENT_DRAW,PASS
LOG00030,Unit B-0835: VDD_3V3 rail reading 3.32V.,B0835,POWER_RAIL_3V3,PASS
LOG00031,unit C6807 12v power check measured 11.29V — no good.,C6807,POWER_RAIL_12V,FAIL
LOG00032,board D0664 - signal amplitude CH1 3.22Vpp.,D0664,SIGNAL_INTEGRITY,PASS
LOG00033,"Checked 3.3V rail on D-3982, 3.29V, line 2.",D3982,POWER_RAIL_3V3,PASS
LOG00034,Unit B-8812: idle current draw reading 105.27mA — passes.,B8812,CURRENT_DRAW,PASS
LOG00035,"Checked board temp after 10min soak on board D4573, 35.5C, nominal.",D4573,THERMAL,PASS
LOG00036,Unit D-7689: CH2 signal check reading 3.18Vpp.,D7689,SIGNAL_INTEGRITY,PASS
LOG00037,B-9673 resistance check J7 measured 7.41Ohm.,B9673,CONTINUITY,FAIL
LOG00038,Unit B6266: board temp after 10min soak reading 43.3C (within spec).,B6266,THERMAL,PASS
LOG00039,"Checked signal amplitude CH3 on unit B6943, 2.43Vpp, reject, shift B.",B6943,SIGNAL_INTEGRITY,FAIL
LOG00040,board B1884 VDD_5V rail measured 5.00V — within spec.,B1884,POWER_RAIL_5V,PASS
LOG00041,"unit B2167 continuity on J12: 2.21 Ohm, passes.",B2167,CONTINUITY,PASS
LOG00042,B-0624 eye height CH4 measured 3.43Vpp (checks out).,B0624,SIGNAL_INTEGRITY,FAIL
LOG00043,unit B5584 5V rail: 4.95 V.,B5584,POWER_RAIL_5V,PASS
LOG00044,board C9598 VDD_12V rail: 12.49 V — passes.,C9598,POWER_RAIL_12V,FAIL
LOG00045,"board A4783 - VDD_5V rail 5.63V, unit was reworked yesterday.",A4783,POWER_RAIL_5V,FAIL
LOG00046,C-3948 resistance check CLK measured 1.14Ohm.,C3948,CONTINUITY,FAIL
LOG00047,"A 2819 - eye height CH4 3.06Vpp — OK, retest after rework.",A2819,SIGNAL_INTEGRITY,FAIL
LOG00048,"Checked resistance check J12 on unit C0467, 0.78Ohm (within spec), after reflow.",C0467,CONTINUITY,FAIL
LOG00049,board c4205 thermal soak reading: 20.0 c.,C4205,THERMAL,FAIL
LOG00050,board a3230 3v3 supply: 3.18 v (passes).,A3230,POWER_RAIL_3V3,PASS
LOG00051,board c8216 board temp after 10min soak: 20.0 c.,C8216,THERMAL,FAIL
LOG00052,Unit B2278: 12v power check reading 13.18V — no good.,B2278,POWER_RAIL_12V,FAIL
LOG00053,board A3451 thermal soak reading: 29.3 C.,A3451,THERMAL,FAIL
LOG00054,Unit board C3265: thermal soak reading reading 30.6C.,C3265,THERMAL,PASS
LOG00055,Unit C 3514: eye height CH2 reading 3.25Vpp.,C3514,SIGNAL_INTEGRITY,PASS
